Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
لؤي الصالح,@lwylnrlnr162099,2024-10-13T07:15:42.000Z,False,*صنعاء.. قبائل أرحب تعلن النفير القبلي بعد هذه الجريمة*,0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1838429028853723136/nuey6POz_normal.jpg,https://x.com/lwylnrlnr162099/status/1845362763431883093,tweet_id:1845362763431883093
ابراهيم شحاده ابورعد,@Mqxx3JSM48ZoMwR,2024-10-13T06:40:45.000Z,False,"نافخ البوق لا يعلم هل تم سماعه من الناس ام لا الا ان تم النفير العام .
وهذا النفير العام يحتاج قائد",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1660634013340401664/kvg_0VSH_normal.jpg,https://x.com/Mqxx3JSM48ZoMwR/status/1845353968383225945,tweet_id:1845353968383225945
ابو محمد الحريري,@MhmdAlhryr40631,2024-10-13T06:21:10.000Z,False,بعد التضحيات الجسيمه التي قدمها أبناء الجنوب منذوا غزو 2015نطالب  القياده السياسيه بإعلان النفير وتحرير وادي حضرموت والمهره من المحتل الاخواني#اكتوبر_موعدنا_حضرموت,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1834188835103617024/y8qZt0-N_normal.jpg,https://x.com/MhmdAlhryr40631/status/1845349037525868941,tweet_id:1845349037525868941
رابح البلوشي,@rabih359,2024-10-13T06:10:10.000Z,False,نعم و لولا الفاسدين و المفسدين، كل القضايا تنجح و لكن قلي من العقل الذي يديرها هنا يكمن نجاحها من فشلها او تاخر نجاحها او استدامة فشلها او تركها بين هكذا و ذاك لا هي في العير و لا في النفير..,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1410002148683915266/DsyDroaI_normal.jpg,https://x.com/rabih359/status/1845346271915119103,tweet_id:1845346271915119103
