Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Delhi Capitals,@DelhiCapitals,2024-10-12T16:29:48.000Z,True,Millenials are living the dream ,17,533,14K,113K,[],[],['\\u2705'],https://pbs.twimg.com/profile_images/1426487886669443074/RqX3Zv50_normal.jpg,https://x.com/DelhiCapitals/status/1845139817555775677,tweet_id:1845139817555775677
PeterSweden,@PeterSweden7,2024-10-12T13:54:40.000Z,True,"BREAKING: Poland is now suspending the right to asylum in the country.

The open borders agenda in Europe is crumbling.",689,8.8K,50K,735K,[],[],[],https://pbs.twimg.com/profile_images/1689406782647500800/2EBrCIZx_normal.jpg,https://x.com/PeterSweden7/status/1845100778890875081,tweet_id:1845100778890875081
AlNassr FC,@AlNassrFC_EN,2024-10-12T21:19:27.000Z,True,906 AND COUNTING......,179,1.4K,15K,108K,[],[],['\\U0001f410'],https://pbs.twimg.com/profile_images/1810619895148634112/BvBK-aF2_normal.jpg,https://x.com/AlNassrFC_EN/status/1845212711623299381,tweet_id:1845212711623299381
Megan,@megducks,2024-10-12T12:32:39.000Z,False,My favorite sign,518,6.7K,113K,6.4M,[],[],[],https://pbs.twimg.com/profile_images/1769381690554888192/f3Audk-7_normal.jpg,https://x.com/megducks/status/1845080139719377325,tweet_id:1845080139719377325
Himanshu Rao Kalvakuntla,@TheHimanshuRaoK,2024-10-12T13:57:57.000Z,True,Happy DasaraFirst Dasara without the family Missing our traditions but still feeling the joy regardless Cant wait to see them again,75,233,4K,93K,[],[],"['\\u2764\\ufe0f', '\\U0001f642', '\\U0001f60a', '\\u2764\\ufe0f', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1736645173416009728/JxrbJH4W_normal.jpg,https://x.com/TheHimanshuRaoK/status/1845101605584019794,tweet_id:1845101605584019794
Milagro Movies,@MilagroMovies,2024-10-13T03:14:40.000Z,True,#Devara has sold 4.6M tickets on BookMyShow so far!,26,319,1.4K,13K,['#Devara'],[],[],https://pbs.twimg.com/profile_images/1594241960042467328/hGEJxMhc_normal.jpg,https://x.com/MilagroMovies/status/1845302104644026450,tweet_id:1845302104644026450
,@floraisgivingup,2024-10-11T19:56:39.000Z,True,the fact that hugh jackman is just a huge theater nerd who sometimes gets ripped to play an angry comic book character is still my favourite,216,19K,228K,4.1M,[],[],[],https://pbs.twimg.com/profile_images/1771288921189568512/bfHPfexo_normal.jpg,https://x.com/floraisgivingup/status/1844829488154099908,tweet_id:1844829488154099908
Shikhar Dhawan,@SDhawan25,2024-10-12T18:18:54.000Z,True,What a phenomenal series for #TeamIndia! Really happy to see the boys play with such passion and exceptional skill. Keep it up! #INDvsBAN ,37,113,4.2K,43K,"['#TeamIndia', '#INDvsBAN']",[],"['\\U0001f1ee\\U0001f1f3', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1571376568555180037/dVyo4uy7_normal.jpg,https://x.com/SDhawan25/status/1845167272748261424,tweet_id:1845167272748261424
OKX,@okx,2024-10-12T08:21:16.000Z,True,"#NewListing#OKX will list $X !$X  Spot trading begins at noon on October 24 (UTC)

More: https://okx.com/help/okx-to-list-x-x-empire-for-spot-trading-and-deliver-pre-market-futures-for-x…",10K,30K,98K,870K,"['#NewListing', '#OKX']","['@xempiregame', '@xempiregame']","['\\U0001f4e2', '\\U0001f7e2']",https://pbs.twimg.com/profile_images/1826636254164774912/6-Hm_NAR_normal.jpg,https://x.com/okx/status/1845016874196795811,tweet_id:1845016874196795811
Sai Mohan 'NTR',@Sai_Mohan_999,2024-10-13T03:03:52.000Z,True,మహాలక్ష్మి పుట్టింది Congratulations  Anna   Enjoy The Day .,44,434,1.7K,15K,[],['@NtrMurali9999'],"['\\u2764\\ufe0f', '\\U0001f38a', '\\U0001f389', '\\U0001f490', '\\U0001f60a', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1527227426991788032/iJw_fTnl_normal.jpg,https://x.com/Sai_Mohan_999/status/1845299385338560647,tweet_id:1845299385338560647
chart data,@chartdata,2024-10-12T22:25:19.000Z,True,"Billboard Hot 100: #26(+4) Who, #JIMIN [11 weeks]. *peak: #12*",366,8.7K,18K,235K,['#JIMIN'],[],[],https://pbs.twimg.com/profile_images/1834959735084220416/xszpaK6A_normal.jpg,https://x.com/chartdata/status/1845229287244538271,tweet_id:1845229287244538271
Indian Tech & Infra,@IndianTechGuide,2024-10-13T03:00:01.000Z,True," US $1 = Rs 84.14

The Indian rupee hits a record low against the US dollar amid the FPI sell-off and rising oil prices.",114,228,2.4K,63K,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1416333885923684360/blsBSmR-_normal.jpg,https://x.com/IndianTechGuide/status/1845298416504668440,tweet_id:1845298416504668440
Nishit Shaw,@NishitShawHere,2024-10-12T14:32:24.000Z,True,Not everyone is #Yash and not everyone can re-create #KGF. The attempts must stop. ,186,690,8.3K,428K,"['#Yash', '#KGF']",[],['\\u26a0\\ufe0f'],https://pbs.twimg.com/profile_images/969469512402612224/smTZE4___normal.jpg,https://x.com/NishitShawHere/status/1845110275554398245,tweet_id:1845110275554398245
MalayalamReview,@MalayalamReview,2024-10-12T16:02:41.000Z,True,#Vettaiyan Kerala ~ Day 3 Heading Towards 3cr+,9,314,808,18K,['#Vettaiyan'],[],['\\U0001f525'],https://pbs.twimg.com/profile_images/773708395543011328/vN4caNcj_normal.jpg,https://x.com/MalayalamReview/status/1845132996245901516,tweet_id:1845132996245901516
UEFA EURO 2024,@EURO2024,2024-10-12T19:51:53.000Z,True,#NationsLeague,122,1.1K,13K,131K,['#NationsLeague'],[],"['\\U0001f449', '\\U0001f604']",https://pbs.twimg.com/profile_images/1830907836395642880/NHnJQ1LE_normal.jpg,https://x.com/EURO2024/status/1845190673525322036,tweet_id:1845190673525322036
TollywoodBoxoffice.IN,@TBO_Updates,2024-10-13T03:17:09.000Z,True,"#Devara Day16 Ceeded > Nizam  

Only #Balayya (Multiple times) and #NTR have achieved this feet, Biggest Mass Heros of All Time ",34,494,1.9K,20K,"['#Devara', '#Balayya', '#NTR']",[],"['\\U0001f525', '\\U0001f44f']",https://pbs.twimg.com/profile_images/1569154448546762753/UXE_eiVX_normal.jpg,https://x.com/TBO_Updates/status/1845302730669134025,tweet_id:1845302730669134025
